ProductID,ProductName,Category,Subcategory,Brand,UnitCost,UnitPrice
P0001,Product 1,Sports,Standard,Nova,19451.74,26742.61
P0002,Product 2,Office,Premium,Halo,10419.6,12450.56
P0003,Product 3,Sports,Accessories,Vertex,3761.97,5598.54
P0004,Product 4,Office,Accessories,Orion,16653.11,22170.88
P0005,Product 5,Home,Standard,Nova,6554.82,9165.38
P0006,Product 6,Home,Accessories,Zenith,16941.78,20969.04
P0007,Product 7,Sports,Premium,Nova,12556.69,17140.51
P0008,Product 8,Electronics,Accessories,Halo,3497.42,5174.65
P0009,Product 9,Fashion,Standard,Halo,12545.91,18388.54
P0010,Product 10,Home,Accessories,Orion,16530.94,19174.75
P0011,Product 11,Electronics,Accessories,Vertex,5403.42,6612.61
P0012,Product 12,Sports,Premium,Vertex,12833.98,16996.21
P0013,Product 13,Sports,Premium,Halo,19139.51,25245.6
P0014,Product 14,Office,Premium,Apex,1598.51,1871.81
P0015,Product 15,Office,Premium,Apex,9369.18,11890.12
P0016,Product 16,Fashion,Premium,Halo,6488.43,9705.45
P0017,Product 17,Home,Premium,Nova,15249.2,20285.14
P0018,Product 18,Electronics,Premium,Nova,9409.48,11701.77
P0019,Product 19,Fashion,Standard,Orion,1154.52,1709.71
P0020,Product 20,Sports,Premium,Nova,19259.31,28230.47
P0021,Product 21,Home,Accessories,Halo,6357.39,9009.01
P0022,Product 22,Office,Accessories,Apex,10050.38,12643.27
P0023,Product 23,Electronics,Standard,Apex,10183.07,15155.87
P0024,Product 24,Fashion,Accessories,Zenith,1115.86,1393.12
P0025,Product 25,Sports,Accessories,Halo,9491.15,12697.66
P0026,Product 26,Electronics,Premium,Nova,17666.75,24815.21
P0027,Product 27,Office,Premium,Orion,8101.55,10933.84
P0028,Product 28,Fashion,Premium,Vertex,5878.74,7555.49
P0029,Product 29,Office,Accessories,Zenith,16532.43,22618.59
P0030,Product 30,Sports,Standard,Nova,19505.39,25120.33
P0031,Product 31,Home,Accessories,Zenith,15136.06,18461.0
P0032,Product 32,Sports,Premium,Vertex,949.06,1104.35
P0033,Product 33,Home,Premium,Vertex,9221.22,12561.06
P0034,Product 34,Sports,Standard,Zenith,18637.67,23511.15
P0035,Product 35,Office,Accessories,Halo,16875.65,22913.82
P0036,Product 36,Sports,Accessories,Vertex,9873.46,13299.78
P0037,Product 37,Office,Standard,Zenith,6725.11,7991.86
P0038,Product 38,Office,Accessories,Zenith,15965.58,22413.49
P0039,Product 39,Electronics,Accessories,Apex,5420.78,7477.73
P0040,Product 40,Sports,Accessories,Nova,14469.79,19595.47
P0041,Product 41,Fashion,Accessories,Halo,14465.48,20557.07
P0042,Product 42,Office,Standard,Halo,4957.6,6694.74
P0043,Product 43,Electronics,Standard,Orion,8904.62,11545.49
P0044,Product 44,Office,Accessories,Nova,8295.99,11790.6
P0045,Product 45,Office,Accessories,Halo,1386.28,1661.22
P0046,Product 46,Fashion,Accessories,Zenith,19962.74,26299.51
P0047,Product 47,Office,Premium,Nova,9274.32,12396.0
P0048,Product 48,Sports,Premium,Halo,15474.0,21699.56
P0049,Product 49,Home,Accessories,Apex,3966.44,4903.64
P0050,Product 50,Sports,Premium,Nova,18838.49,28140.77
P0051,Product 51,Home,Accessories,Nova,13851.26,18299.61
P0052,Product 52,Office,Premium,Vertex,18683.95,26688.0
P0053,Product 53,Home,Premium,Orion,11533.51,15456.25
P0054,Product 54,Office,Premium,Nova,5915.49,7398.33
P0055,Product 55,Electronics,Premium,Apex,13171.05,18591.84
P0056,Product 56,Fashion,Standard,Vertex,5531.98,7449.95
P0057,Product 57,Home,Standard,Orion,12371.19,16767.8
P0058,Product 58,Fashion,Standard,Halo,18117.91,22266.64
P0059,Product 59,Fashion,Standard,Orion,8354.03,11704.63
P0060,Product 60,Electronics,Accessories,Nova,252.85,339.48
P0061,Product 61,Fashion,Premium,Halo,18710.39,27269.27
P0062,Product 62,Office,Accessories,Nova,15154.83,18951.66
P0063,Product 63,Home,Accessories,Orion,18172.55,21467.44
P0064,Product 64,Sports,Standard,Vertex,14812.93,21443.44
P0065,Product 65,Electronics,Standard,Apex,17662.56,21398.65
P0066,Product 66,Electronics,Premium,Apex,3848.29,5434.37
P0067,Product 67,Home,Standard,Orion,6073.09,8265.32
P0068,Product 68,Home,Premium,Apex,19783.62,26513.12
P0069,Product 69,Office,Standard,Vertex,9440.21,11493.3
P0070,Product 70,Electronics,Premium,Nova,14662.72,20189.1
P0071,Product 71,Fashion,Standard,Halo,6841.68,8574.39
P0072,Product 72,Fashion,Standard,Vertex,17144.51,25098.96
P0073,Product 73,Office,Accessories,Zenith,1871.74,2590.94
P0074,Product 74,Fashion,Standard,Apex,6573.49,8130.2
P0075,Product 75,Home,Premium,Nova,9017.7,11213.04
P0076,Product 76,Home,Premium,Vertex,14499.22,16732.14
P0077,Product 77,Home,Accessories,Nova,1383.17,1647.88
P0078,Product 78,Home,Standard,Apex,13768.56,20282.29
P0079,Product 79,Home,Accessories,Orion,12828.42,18976.09
P0080,Product 80,Home,Accessories,Nova,4499.7,5385.01
P0081,Product 81,Fashion,Premium,Halo,19778.43,25331.59
P0082,Product 82,Sports,Premium,Vertex,16069.6,23123.53
P0083,Product 83,Fashion,Accessories,Vertex,17481.73,20604.92
P0084,Product 84,Office,Accessories,Halo,7331.43,10784.79
P0085,Product 85,Electronics,Standard,Vertex,18072.33,22061.88
P0086,Product 86,Sports,Standard,Nova,6663.14,8876.1
P0087,Product 87,Electronics,Accessories,Nova,14380.82,18998.35
P0088,Product 88,Sports,Premium,Orion,9150.63,12167.01
P0089,Product 89,Office,Accessories,Orion,11242.12,15575.61
P0090,Product 90,Home,Accessories,Orion,8009.58,11499.82
P0091,Product 91,Fashion,Accessories,Orion,1049.0,1332.84
P0092,Product 92,Electronics,Accessories,Orion,18701.47,21958.46
P0093,Product 93,Office,Standard,Zenith,8266.01,11730.63
P0094,Product 94,Office,Premium,Apex,9053.46,13317.55
P0095,Product 95,Office,Premium,Orion,13702.2,18931.33
P0096,Product 96,Sports,Standard,Halo,17226.69,20525.97
P0097,Product 97,Sports,Premium,Vertex,2677.84,3996.82
P0098,Product 98,Electronics,Standard,Zenith,9340.63,13092.6
P0099,Product 99,Office,Accessories,Apex,16493.7,20396.59
P0100,Product 100,Home,Standard,Zenith,3891.34,5667.05
