OrderID,OrderDate,CustomerID,ProductID,RegionID,Salesperson,Quantity,Discount,SalesAmount,CostAmount
O000001,2025-08-04,C00017,P0085,4,Arun,4,0.0,88247.52,72289.32
O000002,2024-04-13,C00018,P0058,1,Meena,1,0.0,22266.64,18117.91
O000003,2024-02-21,C00225,P0030,4,Arun,3,0.05,71592.94,58516.17
O000004,2024-09-11,C00295,P0041,4,Meena,6,0.0,123342.42,86792.88
O000005,2025-10-14,C00267,P0029,3,Sneha,1,0.05,21487.66,16532.43
O000006,2025-04-12,C00090,P0081,2,Vikram,8,0.0,202652.72,158227.44
O000007,2024-10-22,C00196,P0068,1,Priya,7,0.0,185591.84,138485.34
O000008,2024-11-14,C00276,P0061,1,Rahul,5,0.15,115894.4,93551.95
O000009,2024-05-20,C00238,P0008,4,Priya,9,0.05,44243.26,31476.78
O000010,2024-11-22,C00131,P0027,1,Arun,8,0.15,74350.11,64812.4
O000011,2024-04-06,C00098,P0007,2,Meena,10,0.1,154264.59,125566.9
O000012,2025-10-12,C00097,P0098,5,Meena,9,0.0,117833.4,84065.67
O000013,2024-07-11,C00171,P0039,4,Arun,4,0.2,23928.74,21683.12
O000014,2025-12-07,C00061,P0096,2,Priya,4,0.1,73893.49,68906.76
O000015,2025-06-25,C00204,P0031,1,Sneha,7,0.05,122765.65,105952.42
O000016,2025-05-20,C00158,P0034,4,Priya,8,0.0,188089.2,149101.36
O000017,2025-12-19,C00241,P0098,4,Rahul,6,0.0,78555.6,56043.78
O000018,2024-02-23,C00114,P0095,3,Vikram,10,0.05,179847.64,137022.0
O000019,2024-12-13,C00079,P0026,2,Priya,10,0.15,210929.28,176667.5
O000020,2025-02-08,C00173,P0033,3,Priya,8,0.05,95464.06,73769.76
O000021,2025-07-14,C00181,P0022,5,Priya,3,0.15,32240.34,30151.14
O000022,2025-03-09,C00031,P0068,1,Meena,1,0.1,23861.81,19783.62
O000023,2024-12-09,C00119,P0009,5,Arun,4,0.05,69876.45,50183.64
O000024,2024-11-11,C00248,P0085,5,Arun,9,0.05,188629.07,162650.97
O000025,2024-01-17,C00272,P0093,4,Sneha,1,0.05,11144.1,8266.01
O000026,2025-06-21,C00221,P0023,1,Vikram,3,0.0,45467.61,30549.21
