Month,RegionID,SalesTarget,ProfitTarget
2024-01-01,1,566896.37,161570.86
2024-01-01,2,583213.67,145113.15
2024-01-01,3,625358.99,177980.06
2024-01-01,4,792679.71,202564.93
2024-01-01,5,615433.1,155097.27
2024-02-01,1,553678.58,125413.48
2024-02-01,2,614502.95,180982.6
2024-02-01,3,690176.22,206327.99
2024-02-01,4,843920.45,246776.03
2024-02-01,5,629429.86,153271.86
2024-03-01,1,536074.66,124076.04
2024-03-01,2,626346.63,166452.5
2024-03-01,3,692062.02,180192.83
2024-03-01,4,792267.73,224802.53
2024-03-01,5,608772.13,166709.19
2024-04-01,1,561077.65,162702.9
2024-04-01,2,610268.19,156047.37
2024-04-01,3,648838.05,177140.16
2024-04-01,4,809428.23,191778.86
2024-04-01,5,643083.91,175420.18
2024-05-01,1,540629.9,137747.89
2024-05-01,2,651101.56,151588.7
2024-05-01,3,710548.61,207630.75
2024-05-01,4,861369.78,204687.37
2024-05-01,5,617940.11,159492.93
2024-06-01,1,591823.94,136029.46
2024-06-01,2,620039.85,162923.82
2024-06-01,3,703378.94,159832.55
2024-06-01,4,863339.28,250157.09
2024-06-01,5,666985.64,187627.72
2024-07-01,1,580403.87,157590.63
2024-07-01,2,641617.01,177981.62
2024-07-01,3,710813.05,178081.44
2024-07-01,4,867312.92,229796.29
2024-07-01,5,668455.64,190293.14
2024-08-01,1,564004.43,129300.95
2024-08-01,2,628697.62,142796.82
2024-08-01,3,717839.79,211746.12
2024-08-01,4,884344.55,202770.03
2024-08-01,5,642939.51,185337.87
2024-09-01,1,612044.43,162897.67
2024-09-01,2,628881.15,141467.31
2024-09-01,3,710045.82,204329.52
2024-09-01,4,913105.1,224232.53
2024-09-01,5,648769.86,177986.23
2024-10-01,1,608404.93,159146.63
2024-10-01,2,674779.56,160443.23
2024-10-01,3,706602.47,185881.27
2024-10-01,4,875899.11,202837.27
2024-10-01,5,693132.03,198913.18
2024-11-01,1,596292.39,152926.79
2024-11-01,2,680959.93,157757.75
2024-11-01,3,732544.81,208118.43
2024-11-01,4,905443.02,242577.62
2024-11-01,5,657024.22,196599.26
2024-12-01,1,579066.25,173573.89
2024-12-01,2,694296.95,179310.95
2024-12-01,3,751081.83,194982.38
2024-12-01,4,913779.42,228569.76
2024-12-01,5,708435.61,174736.75
2025-01-01,1,627051.56,148516.56
2025-01-01,2,702345.78,200051.6
2025-01-01,3,748436.03,167803.33
2025-01-01,4,936585.42,219462.21
2025-01-01,5,681151.61,171203.8
2025-02-01,1,642237.17,175163.78
2025-02-01,2,716640.1,214479.67
2025-02-01,3,743831.81,183721.11
2025-02-01,4,927851.63,277636.54
2025-02-01,5,705826.25,177363.58
2025-03-01,1,619706.84,150367.64
2025-03-01,2,712352.91,167835.6
2025-03-01,3,773439.98,194521.54
2025-03-01,4,885755.23,248172.07
2025-03-01,5,699762.53,199016.48
2025-04-01,1,645214.4,178574.06
2025-04-01,2,701768.82,163579.19
2025-04-01,3,726079.41,200162.99
2025-04-01,4,908386.09,210369.35
2025-04-01,5,680533.65,190461.36
2025-05-01,1,643625.46,142067.83
2025-05-01,2,726953.22,193409.22
2025-05-01,3,773487.22,231333.58
2025-05-01,4,902858.08,267274.75
2025-05-01,5,701212.48,201481.35
2025-06-01,1,661266.95,150559.78
2025-06-01,2,751016.55,176016.22
2025-06-01,3,732184.93,218500.19
2025-06-01,4,958071.8,256256.8
2025-06-01,5,745916.11,201515.06
2025-07-01,1,633528.6,141099.13
2025-07-01,2,704406.89,182504.83
2025-07-01,3,787570.45,233407.87
2025-07-01,4,966517.4,241658.09
2025-07-01,5,732320.93,207705.27
2025-08-01,1,655316.65,184942.46
2025-08-01,2,755886.16,205619.84
2025-08-01,3,762065.8,207476.71
2025-08-01,4,947301.61,217500.48
2025-08-01,5,694385.7,179941.36
2025-09-01,1,661491.8,172503.75
2025-09-01,2,700326.8,186173.86
2025-09-01,3,791850.69,191547.09
2025-09-01,4,991860.07,281239.44
2025-09-01,5,707415.49,183033.37
2025-10-01,1,665417.17,169476.77
2025-10-01,2,746828.19,170243.44
2025-10-01,3,758090.93,221901.13
2025-10-01,4,1004993.31,235963.57
2025-10-01,5,759860.02,168369.56
2025-11-01,1,665061.09,174853.43
2025-11-01,2,771001.98,199755.1
2025-11-01,3,800753.91,213623.3
2025-11-01,4,1005279.87,284700.7
2025-11-01,5,714970.7,200362.71
2025-12-01,1,697824.89,203631.01
2025-12-01,2,729717.5,195511.9
2025-12-01,3,780003.97,206215.69
2025-12-01,4,1022129.52,234929.95
2025-12-01,5,721185.14,170559.13
